Budget Estimates 2022-2023 Revenue,Category,Ministry/Department,Scheme,Actuals 2021-2022 Capital,Actuals 2021-2022 Revenue,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Capital,Budget Estimates 2022-2023 Total,Budget Estimates2023-2024 Capital,Budget Estimates2023-2024 Revenue,Budget Estimates2023-2024 Total,Revised Estimates 2022-2023 Revenue,Revised Estimates2022-2023 Revenue,Revised Estimates2022-2023 Total,Sl.No.
NA,Demand No. 21,Capital Outlay on Defence Services,Other equipment-Army,16532,0,16532,21721.68,21721.68,21300,0,21300,20885,0,20885,182
NA,Demand No. 21,Capital Outlay on Defence Services,Rolling Stock,48.73,0,48.73,100,100,163,0,163,120,0,120,183
NA,Demand No. 21,Capital Outlay on Defence Services,Rashtriya Rifles,28.9,0,28.9,100,100,100,0,100,95,0,95,184
NA,Demand No. 21,Capital Outlay on Defence Services,National Cadet Corps,6.48,0,6.48,13,13,13,0,13,6,0,6,185
NA,Demand No. 21,Capital Outlay on Defence Services,Ex-Servicemen Contributory Health Scheme,1.2,0,1.2,17,17,86,0,86,22,0,22,186
0,Demand No. 21,Capital Outlay on Defence Services,Military Farms,-0.46,0,-0.46,0,0,0,0,0,0,0,0,187
NA,Demand No. 21,Capital Outlay on Defence Services,Land-Navy,36.62,0,36.62,17,17,1550.9,0,1550.9,30,0,30,188
NA,Demand No. 21,Capital Outlay on Defence Services,Construction Works-Navy,1413.06,0,1413.06,1056.31,1056.31,1900.1,0,1900.1,1856.31,0,1856.31,189
NA,Demand No. 21,Capital Outlay on Defence Services,Aircrafts and Aeroengines,7330.71,0,7330.71,5925.94,5925.94,7000,0,7000,7500,0,7500,190
NA,Demand No. 21,Capital Outlay on Defence Services,Heavy and Medium Vehicles,9.88,0,9.88,30,30,90,0,90,50,0,50,191
NA,Demand No. 21,Capital Outlay on Defence Services,Other equipment-Navy,6691.5,0,6691.5,6000,6000,9500,0,9500,8200,0,8200,192
NA,Demand No. 21,Capital Outlay on Defence Services,Naval Fleet,24927.92,0,24927.92,29452,29452,24200,0,24200,24187,0,24187,193
NA,Demand No. 21,Capital Outlay on Defence Services,Naval Dockyard/projects,4046.56,0,4046.56,3842.06,3842.06,6725,0,6725,4500,0,4500,194
NA,Demand No. 21,Capital Outlay on Defence Services,Joint Staff,572.38,0,572.38,1267.68,1267.68,1838.75,0,1838.75,1403.72,0,1403.72,195
NA,Demand No. 21,Capital Outlay on Defence Services,Land-Air Force,1.93,0,1.93,547.18,547.18,340.27,0,340.27,284.17,0,284.17,196
NA,Demand No. 21,Capital Outlay on Defence Services,Construction Works-Air Force,2181.41,0,2181.41,2663.52,2663.52,2342.31,0,2342.31,1995.85,0,1995.85,197
NA,Demand No. 21,Capital Outlay on Defence Services,Aircrafts and Aeroengines-Air Force,29930.29,0,29930.29,18966.18,18966.18,15721.65,0,15721.65,23713.03,0,23713.03,198
NA,Demand No. 21,Capital Outlay on Defence Services,Heavy and Medium Vehicles-Air Force,98.32,0,98.32,210,210,947.94,0,947.94,162.81,0,162.81,199
NA,Demand No. 21,Capital Outlay on Defence Services,Other equipment-Air Force,18946.56,0,18946.56,32308.9,32308.9,36223.13,0,36223.13,26624.12,0,26624.12,200
NA,Demand No. 21,Capital Outlay on Defence Services,Special Projects,668.05,0,668.05,890.87,890.87,1561.79,0,1561.79,969.42,0,969.42,201
0,Demand No. 21,Capital Outlay on Defence Services,Defence Ordnance Factories,196.59,0,196.59,0,0,5,0,5,1.5,0,1.5,202
NA,Demand No. 21,Capital Outlay on Defence Services,Emergency Authorisation for newly created DPSUs,2500,0,2500,2500,2500,0,0,0,2500,0,2500,203
NA,Demand No. 21,Capital Outlay on Defence Services,Research  and Development,10263.45,0,10263.45,11981.81,11981.81,12850,0,12850,11981.81,0,11981.81,204
NA,Demand No. 21,Capital Outlay on Defence Services,Inspection - Director General Quality Audit (DGQA),7.17,0,7.17,20,20,20,0,20,10,0,10,205
NA,Demand No. 21,Capital Outlay on Defence Services,Projects of the Army,0,0,0,100,100,100,0,100,1,0,1,206
NA,Demand No. 21,Capital Outlay on Defence Services,Projects of the Air Force,1390.63,0,1390.63,1264.9,1264.9,1131.62,0,1131.62,121.77,0,121.77,207
NA,Demand No. 21,Capital Outlay on Defence Services,Investment in Public Enterprises,1643,0,1643,1310,1310,1310,0,1310,1310,0,1310,208
604.42,Demand No. 23,Ministry of Development of North Eastern Region,Schemes of North East Council,8.55,378.27,386.82,40,644.42,42.2,757.8,800,5,661.87,666.87,209
57.45,Demand No. 23,Ministry of Development of North Eastern Region,Schemes of North East Council - Special Development Projects,0,133.1,133.1,0,57.45,0,0,0,0,0,0,210
0,Demand No. 23,Ministry of Development of North Eastern Region,Central Pool of Resources for North East and Sikkim,0,512.99,512.99,0,0,0,0,0,0,0,0,211
1288.79,Demand No. 23,Ministry of Development of North Eastern Region,North East Special Infrastructure Development Scheme (NESIDS),137.81,652.45,790.26,130,1418.79,2446.1,44.9,2491,128.73,1104.27,1233,212
0.3,Demand No. 23,Ministry of Development of North Eastern Region,North East States Road PMU (ADB Assisted),0,0.54,0.54,0,0.3,0,0,0,0,0.3,0.3,213
60,Demand No. 23,Ministry of Development of North Eastern Region,North East Road Sector Development Scheme,475.53,214.04,689.57,435.96,495.96,0,0,0,200,60,260,214
30,Demand No. 23,Ministry of Development of North Eastern Region,Bodoland Territorial Council,0,3.31,3.31,0,30,0,0,0,0,6.42,6.42,215
40,Demand No. 23,Ministry of Development of North Eastern Region,Karbi Anglong Autonomous Territorial Council,0,67.44,67.44,0,40,0,0,0,0,1.55,1.55,216
35,Demand No. 23,Ministry of Development of North Eastern Region,Dima Hasao Territorial Council,0,-1.51,-1.51,0,35,0,0,0,0,2,2,217
NA,Demand No. 23,Ministry of Development of North Eastern Region,North East Enterprise Development Scheme (NEEDS) erstwhile Loan to North East Development Finance Corporation,40,0,40,50,50,60,0,60,50,0,50,218
0,Demand No. 23,Ministry of Development of North Eastern Region,Social and Infrastructure Development Fund,0,-2.18,-2.18,0,0,0,0,0,0,0,0,219
0,Demand No. 23,Ministry of Development of North Eastern Region,Special Development Packages,0,0,0,0,0,0,300,300,0,95.03,95.03,220
0,Demand No. 23,Ministry of Development of North Eastern Region,Prime Minister's Development Initiative for North East Region (PM-DevINE),0,0,0,0,0,1540,660,2200,350,50,400,221
435,Demand No. 24,Ministry of Earth Sciences,"Ocean services, Modelling, Application, Resources and Technology (O-SMART)",7.15,374.93,382.08,25,460,26.95,433.05,460,16.95,323.05,340,222
260,Demand No. 24,Ministry of Earth Sciences,Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS),73.67,173.33,247,200,460,389.28,290.72,680,151.7,248.3,400,223
140.24,Demand No. 24,Ministry of Earth Sciences,Polar Science and Cryosphere (PACER),0,107.99,107.99,0,140.24,0,146,146,0,157,157,224
75,Demand No. 24,Ministry of Earth Sciences,Seismological and Geoscience (SAGE),18.72,46.17,64.89,25,100,50,70,120,20,45,65,225
65,Demand No. 24,Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)",0,56.34,56.34,0,65,0,65,65,0,63.13,63.13,226
450,Demand No. 24,Ministry of Earth Sciences,Deep Ocean Mission (DOM),0,119.03,119.03,200,650,200,400,600,0,300,300,227
5,Demand No. 25,Department of School Education and Literacy,National Award to Teachers,0,0.8,0.8,0,5,0,0,0,0,3.8,3.8,228
3.26,Demand No. 25,Department of School Education and Literacy,Pradhan Mantri Innovative Learning Programme (DHRUV),0,0,0,0,3.26,0,0.01,0.01,0,0.01,0.01,229
350,Demand No. 25,Department of School Education and Literacy,National Means cum Merit Scholarship Scheme,0,251.98,251.98,0,350,0,364,364,0,300,300,230
0.27,Demand No. 26,Department of Higher Education,National Research Professors,0,0.38,0.38,0,0.27,0,0.27,0.27,0,0.27,0.27,231
0.01,Demand No. 26,Department of Higher Education,"Establishment of multi disciplinary research universities including Central University of Himalayan Studies (CUHS), creation of Centres of Excellence and National Centre for Excellence in humanities",0,0,0,0,0.01,0,0,0,0,0.01,0.01,232
NA,Demand No. 26,Department of Higher Education,Higher Education Financing Agency (HEFA),0,0,0,0.01,0.01,0,0,0,0.01,0,0.01,233
1700,Demand No. 26,Department of Higher Education,World Class Institutions,0,1046.31,1046.31,0,1700,0,1500,1500,0,1200,1200,234
20,Demand No. 26,Department of Higher Education,Prime Minister's Girls' Hostel,0,0,0,0,20,0,10,10,0,5,5,235
10,Demand No. 26,Department of Higher Education,Indian Knowledge Systems,0,10,10,0,10,0,20,20,0,20,20,236
10,Demand No. 26,Department of Higher Education,Glue Grant for Higher Education Institutes,0,0,0,0,10,0,10,10,0,0,0,237
1400,Demand No. 26,Department of Higher Education,Interest Subsidy and contribution for Guarantee Funds,0,1385.21,1385.21,0,1400,0,0,0,0,1070,1070,238
252.85,Demand No. 26,Department of Higher Education,Scholarship for College and University students,0,191.96,191.96,0,252.85,0,0,0,0,243,243,239
225,Demand No. 26,Department of Higher Education,Special Scholarship Scheme for Jammu and Kashmir,0,184,184,0,225,0,0,0,0,200,200,240
0,Demand No. 26,Department of Higher Education,PM Uchchatar Shiksha Protsahan (PM-USP) Yojna,0,0,0,0,0,0,1554,1554,0,0,0,241
200,Demand No. 26,Department of Higher Education,PM Research Fellowship,0,111.19,111.19,0,200,0,400,400,0,300,300,242
400,Demand No. 26,Department of Higher Education,National Mission in Education Through ICT,0,85.51,85.51,0,400,0,400,400,0,400,400,243
0,Demand No. 26,Department of Higher Education,Setting up of virtual classrooms and massive open online courses (MOOCs),0,80.33,80.33,0,0,0,0,0,0,0,0,244
0,Demand No. 26,Department of Higher Education,e-shodh Sindhu,0,150,150,0,0,0,0,0,0,0,0,245
10,Demand No. 26,Department of Higher Education,Higher Education Statistics and Public Information  System (HESPIS),0,2.06,2.06,0,10,0,10,10,0,10,10,246
0,Demand No. 26,Department of Higher Education,National Digital Library,0,4.88,4.88,0,0,0,0,0,0,0,0,247
0.1,Demand No. 26,Department of Higher Education,National Academic Depository,0,0,0,0,0.1,0,0,0,0,0,0,248
0.01,Demand No. 26,Department of Higher Education,PM e-Vidya,0,0,0,0,0.01,0,0,0,0,0,0,249
10.9,Demand No. 26,Department of Higher Education,Academic Bank of Credits (ABC),0,28.79,28.79,0,10.9,0,10,10,0,5,5,250
17.8,Demand No. 26,Department of Higher Education,National Inititative for Design Innovation,0,4.47,4.47,0,17.8,0,10,10,0,17.8,17.8,251
60,Demand No. 26,Department of Higher Education,Startup India Initiative in Higher Educational Institutions,0,29.32,29.32,0,60,0,11.21,11.21,0,40,40,252
12.6,Demand No. 26,Department of Higher Education,Unnat Bharat Abhiyan,0,6.55,6.55,0,12.6,0,9.4,9.4,0,12.6,12.6,253
10,Demand No. 26,Department of Higher Education,Implementation of the IMPRINT Research Initiative (Impacting Research Innovation and Technology),0,3.54,3.54,0,10,0,5,5,0,10,10,254
17.26,Demand No. 26,Department of Higher Education,Impactful Policy Research in Social Science (IMPRESS),0,0,0,0,17.26,0,0,0,0,0.25,0.25,255
74,Demand No. 26,Department of Higher Education,Scheme for Promotion of Academic and Research Collaboration (SPARC),0,0,0,0,74,0,50,50,0,70.59,70.59,256
25,Demand No. 26,Department of Higher Education,Scheme for Transformational and Advanced Research in Sciences (STARS),0,10.56,10.56,0,25,0,25,25,0,25,25,257
2,Demand No. 26,Department of Higher Education,Multidisciplinary Education and Research Improvement in Technical Education-EAP (MERITE),0,2,2,0,2,0,100,100,0,9,9,258
95,Demand No. 26,Department of Higher Education,Pandit Madan Mohan Malviya National Mission on Teachers and Teaching,0,23.38,23.38,0,95,0,45,45,0,25,25,259
4,Demand No. 26,Department of Higher Education,National Institutional Ranking Framework,0,3,3,0,4,0,4.5,4.5,0,4,4,260
10,Demand No. 26,Department of Higher Education,Global Initiative for Academic Network (GIAN),0,0,0,0,10,0,10,10,0,10,10,261
0,Demand No. 26,Department of Higher Education,Technical Education Quality Improvement Programme of Government of India (EAP),0,34.68,34.68,0,0,0,0,0,0,0,0,262
500,Demand No. 26,Department of Higher Education,Programme for Apprenticeship Training,0,96.75,96.75,0,500,0,0,0,0,400,400,263
0,Demand No. 26,Department of Higher Education,National Apprenticeship Training Scheme (NATS),0,0,0,0,0,0,440,440,0,0,0,264
25,Demand No. 26,Department of Higher Education,Study in India,0,15,15,0,25,0,25,25,0,25,25,265
110.2,Demand No. 26,Department of Higher Education,Planning Administration and Global Engagement,0,61.48,61.48,0,110.2,0,115.65,115.65,0,107.49,107.49,266
10,Demand No. 26,Department of Higher Education,ASEAN Fellowship,0,1.03,1.03,0,10,0,3,3,0,3,3,267
200,Demand No. 26,Department of Higher Education,Education Services-Internationalization of Higher Education,0,95.65,95.65,0,200,0,200,200,0,200,200,268
525,Demand No. 27,Ministry of Electronics and Information Technology,Electronic Governance,0,312.39,312.39,0,525,0,555.74,555.74,0,525,525,269
350,Demand No. 27,Ministry of Electronics and Information Technology,Manpower Development,0,272.26,272.26,0,350,0,0,0,0,250,250,270
650,Demand No. 27,Ministry of Electronics and Information Technology,National Knowledge Network,0,500,500,0,650,0,352,352,0,485.25,485.25,271
2402.99,Demand No. 27,Ministry of Electronics and Information Technology,"Promotion of Electronics and IT HW Manufacturing  (MSIPS, EDF and Manufacturing Clusters)",0,1193.02,1193.02,0.01,2403,0,700,700,0,1199,1199,272
5300,Demand No. 27,Ministry of Electronics and Information Technology,PLI for Large Scale Electronics and IT Hardware,0,0,0,0,5300,0,0,0,0,2203,2203,273
100,Demand No. 27,Ministry of Electronics and Information Technology,Promotion of IT/ITeS Industries,0,69.8,69.8,0,100,0,150,150,0,89.25,89.25,274
300,Demand No. 27,Ministry of Electronics and Information Technology,Cyber Security Projects,0,310.51,310.51,0,300,0,400,400,0,100,100,275
598.17,Demand No. 27,Ministry of Electronics and Information Technology,R and D in IT/Electronics/CCBT,0,502.04,502.04,0,598.17,0,600,600,0,365,365,276
250,Demand No. 27,Ministry of Electronics and Information Technology,Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA),0,300,300,0,250,0,0,0,0,250,250,277
200,Demand No. 27,Ministry of Electronics and Information Technology,Promotion of Digital payment,0,1044.34,1044.34,0,200,0,1500,1500,0,2137,2137,278
0.01,Demand No. 27,Ministry of Electronics and Information Technology,Champion Service Sector Scheme,0,0,0,0,0.01,0,0,0,0,0,0,279
0,Demand No. 27,Ministry of Electronics and Information Technology,Capacity Building and Skill Development Scheme,0,0,0,0,0,0,537.5,537.5,0,0,0,280
0,Demand No. 27,Ministry of Electronics and Information Technology,Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India,0,0,0,0,0,0,3000,3000,0,200,200,281
0,Demand No. 27,Ministry of Electronics and Information Technology,Production Linked Incentive Scheme (PLI),0,0,0,0,0,0,4645.04,4645.04,0,0,0,282
8.62,Demand No. 28,"Ministry of Environment, Forests and Climate Change",Forestry Training and Capacity Building,0,4.96,4.96,0,8.62,0,0,0,0,6.57,6.57,283
70,Demand No. 28,"Ministry of Environment, Forests and Climate Change",Eco-Task Force,0,110,110,0,70,0,0,0,0,80,80,284
0,Demand No. 28,"Ministry of Environment, Forests and Climate Change",Environmental Knowledge and Capacity Building,0,0,0,0,0,0,92.86,92.86,0,0,0,285
195,Demand No. 28,"Ministry of Environment, Forests and Climate Change",National Coastal Mission (NCM),0,27.79,27.79,0,195,0,12.5,12.5,0,4,4,286
4.5,Demand No. 28,"Ministry of Environment, Forests and Climate Change",Hazardous Substances Management (HSM),0,4.9,4.9,0,4.5,0,0,0,0,4,4,287
30,Demand No. 28,"Ministry of Environment, Forests and Climate Change",Climate Change Action Plan,0,24.91,24.91,0,30,0,0,0,0,25,25,288
60,Demand No. 28,"Ministry of Environment, Forests and Climate Change",National Adaptation Fund,0,59.78,59.78,0,60,0,0,0,0,34,34,289
48,Demand No. 28,"Ministry of Environment, Forests and Climate Change",National Mission on Himalayan Studies,0,35.5,35.5,0,48,0,0,0,0,30,30,290
58.7,Demand No. 28,"Ministry of Environment, Forests and Climate Change","Environmental Education, Awareness and Training",0,54.54,54.54,0,58.7,0,0,0,0,12.2,12.2,291
23.5,Demand No. 28,"Ministry of Environment, Forests and Climate Change",Environment Information Systems (ENVIS),0,27.16,27.16,0,23.5,0,0,0,0,22,22,292
4.75,Demand No. 28,"Ministry of Environment, Forests and Climate Change",R and D for Conservation and Development,0,6.21,6.21,0,4.75,0,0,0,0,2.5,2.5,293
0,Demand No. 28,"Ministry of Environment, Forests and Climate Change","Environment Education, Awareness, Research and Skill Development",0,0,0,0,0,0,87.4,87.4,0,0,0,294
460,Demand No. 28,"Ministry of Environment, Forests and Climate Change",Control of Pollution,0,406.7,406.7,0,460,0,756,756,0,600,600,295
1560.01,Demand No. 29,Ministry of External Affairs,Bhutan,443.42,1203.14,1646.56,706.23,2266.24,768.34,1632.24,2400.58,720.87,1779.28,2500.15,296
200,Demand No. 29,Ministry of External Affairs,Afghanistan,0,166.37,166.37,0,200,0,200,200,0,350,350,297
300,Demand No. 29,Ministry of External Affairs,Bangladesh,0,219.53,219.53,0,300,0,200,200,0,170,170,298
750,Demand No. 29,Ministry of External Affairs,Nepal,0,446.43,446.43,0,750,0,550,550,0,425,425,299
200,Demand No. 29,Ministry of External Affairs,Sri Lanka,0,48.56,48.56,0,200,0,150,150,0,75,75,300
360,Demand No. 29,Ministry of External Affairs,Maldives,0,246.1,246.1,0,360,0,400,400,0,400,400,301
600,Demand No. 29,Ministry of External Affairs,Myanmar,0,598.25,598.25,0,600,0,400,400,0,500,500,302
12,Demand No. 29,Ministry of External Affairs,Mongolia,0,0,0,0,12,0,7,7,0,2.5,2.5,303
250,Demand No. 29,Ministry of External Affairs,African Countries,0,141.92,141.92,0,250,0,250,250,0,160,160,304
140,Demand No. 29,Ministry of External Affairs,Eurasian Countries,0,83.96,83.96,0,140,0,75,75,0,65,65,305
40,Demand No. 29,Ministry of External Affairs,Latin American Countries,0,37.69,37.69,0,40,0,50,50,0,7,7,306
150,Demand No. 29,Ministry of External Affairs,Other Developing Countries,0,83.7,83.7,0,150,0,150,150,0,135,135,307
10,Demand No. 29,Ministry of External Affairs,Disaster Relief,0,0.76,0.76,0,10,0,5,5,0,5,5,308
100,Demand No. 29,Ministry of External Affairs,Chabahar Port,0,100,100,0,100,0,100,100,0,100,100,309
900,Demand No. 29,Ministry of External Affairs,Mauritius,0,839.16,839.16,0,900,0,460.79,460.79,0,575,575,310
14.06,Demand No. 29,Ministry of External Affairs,Seychelles,0,18.46,18.46,0,14.06,0,10,10,0,6.45,6.45,311
447.7,Demand No. 29,Ministry of External Affairs,Support to International Training/Programmes,0,262.45,262.45,0,447.7,0,435.21,435.21,0,519.6,519.6,312
10,Demand No. 29,Ministry of External Affairs,Aid for Cultural & Heritage Project,0,0,0,0,10,0,5,5,0,10,10,313
3,Demand No. 30,Department of Economic Affairs,National Investment and Infrastructure Fund (NIIF),1236.93,1.36,1238.29,5000.01,5003.01,1998,2,2000,1998.7,1.3,2000,314
400,Demand No. 30,Department of Economic Affairs,Viability Gap Funding,0,29.77,29.77,100,500,0,500,500,20,1071.8,1091.8,315
0,Demand No. 30,Department of Economic Affairs,Indian Companies,0,170.95,170.95,0,0,0,0,0,0,0,0,316
0,Demand No. 30,Department of Economic Affairs,Exim Bank,0,914.75,914.75,0,0,0,0,0,0,0,0,317
1300,Demand No. 30,Department of Economic Affairs,Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS),0,0,0,0,1300,0,1300,1300,0,1320,1320,318
0,Demand No. 30,Department of Economic Affairs,India Infrastructure Project Development Fund (IIPDF),0,0,0,0,0,0,25,25,0,15,15,319
NA,Demand No. 32,Department of Financial Services,Recapitalization of Public Sector Banks,0,0,0,0.01,0.01,0.01,0,0.01,0,0,0,320
0,Demand No. 32,Department of Financial Services,Recapitalization of Public Sector Banks (through Bonds),4600,0,4600,0,0,0,0,0,0,0,0,321
NA,Demand No. 32,Department of Financial Services,Subscription to the Share Capital of Export-Import Bank of India,750,0,750,1500,1500,0.01,0,0.01,1500,0,1500,322
NA,Demand No. 32,Department of Financial Services,Recapitalization of Insurance Companies,5000,0,5000,0.01,0.01,0.01,0,0.01,0,0,0,323
NA,Demand No. 32,Department of Financial Services,Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD),6084,0,6084,500,500,0.01,0,0.01,0,0,0,324
NA,Demand No. 32,Department of Financial Services,Recapitalization of Regional Rural Banks (RRBs),0,0,0,1361,1361,0,0,0,1361,0,1361,325
NA,Demand No. 32,Department of Financial Services,Equity Support to Industrial Finance Corporation of India (IFCI),100,0,100,100,100,0.01,0,0.01,500,0,500,326
0.01,Demand No. 32,Department of Financial Services,Grants to ICICI Bank for Externally Aided Components,0,0,0,0,0.01,0,0.01,0.01,0,0,0,327
0.01,Demand No. 32,Department of Financial Services,Contribution to Financial Inclusion Fund (FIF) of NABARD to promote AADHAR Enabled Payment System,0,0,0,0,0.01,0,0.01,0.01,0,0,0,328
0.84,Demand No. 32,Department of Financial Services,Grants to NABARD to settle the claims under Indo-Swiss Cooperation-VI,0,0.84,0.84,0,0.84,0,0.83,0.83,0,0.84,0.84,329
0.01,Demand No. 32,Department of Financial Services,Subsidy to National Housing Bank for Interest Subvention on Housing Loans,0,0,0,0,0.01,0,0.01,0.01,0,0,0,330
0,Demand No. 32,Department of Financial Services,Redemption of Securities issued to Stressed Assets Stablization Fund (SASF),0,0,0,0,0,0,0.01,0.01,0,255,255,331
0,Demand No. 32,Department of Financial Services,Grant to National Bank for Financing Infrastructure and Development,0,5000,5000,0,0,0,0,0,0,0,0,332
200.01,Demand No. 32,Department of Financial Services,Government Co-contribution to Atal Pension Yojana,0,203,203,0,200.01,0,521,521,0,725,725,333
94.56,Demand No. 32,Department of Financial Services,Interest Subsidy to LIC for Pension Plan for Senior Citizens,0,49.16,49.16,0,94.56,0,111.47,111.47,0,111.54,111.54,334
0.01,Demand No. 32,Department of Financial Services,Pradhan Mantri Jeevan Jyoti Bima Yojna and Pradhan Mantri Suraksha Bima Yojna (Publicity and Awareness),0,1.06,1.06,0,0.01,0,1.5,1.5,0,0.01,0.01,335
NA,Demand No. 32,Department of Financial Services,Loan Guarantee Scheme for Covid Affected Sectors (LGSCAS),50,0,50,250,250,100,0,100,125,0,125,336
473.92,Demand No. 32,Department of Financial Services,Pradhan Mantri Vaya Vandan Yojana (PMVVY),0,0,0,0,473.92,0,189.7,189.7,0,27.58,27.58,337
100,Demand No. 32,Department of Financial Services,Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC),0,0,0,0,100,0,0.01,0.01,0,0,0,338
0.01,Demand No. 32,Department of Financial Services,Publicity and awareness for Pradhan Mantri Mudra Yojana (PMMY) and other initiatives by MUDRA Ltd.,0,0,0,0,0.01,0,0.01,0.01,0,0,0,339
NA,Demand No. 32,Department of Financial Services,Credit Guarantee Scheme for Micro Finance Institutions (CGSMFI),50,0,50,500,500,100,0,100,50,0,50,340
0.01,Demand No. 32,Department of Financial Services,Stand-Up India (through NCGTC),0,100,100,0,0.01,0,0.01,0.01,0,0,0,341
0.01,Demand No. 32,Department of Financial Services,Publicity and awareness for Stand-Up India and other initiatives by SIDBI,0,5,5,0,0.01,0,0.01,0.01,0,0,0,342
0.01,Demand No. 32,Department of Financial Services,Subsidy to small Industries Development Bank of India (SIDBI) on Interest Subvention of 2 percent for prompt repayment of Shishu Loans (subsidies),0,0,0,0,0.01,0,0.01,0.01,0,0,0,343
NA,Demand No. 32,Department of Financial Services,Capital Support to National Bank for Financing lnfrastructure and Development( NaBFID),20000,0,20000,0.01,0.01,0,0,0,0,0,0,344
0,Demand No. 32,Department of Financial Services,Compounded interest support scheme for loan moratorium,0,1832.72,1832.72,0,0,0,0,0,0,0,0,345
0,Demand No. 32,Department of Financial Services,Swavalamban Scheme-Govt. Co-contribution,0,0,0,0,0,0,0,0,0,1.31,1.31,346
3.4,Demand No. 33,Department of Public Enterprises,"Counselling, Retraining and Redeployment (CRR) Scheme",0,2.26,2.26,0,3.4,0,3.4,3.4,0,2.87,2.87,347
5.15,Demand No. 33,Department of Public Enterprises,"Research, Development and Consultancy on generic issues related to CPSEs and State Level Public Enterprises",0,4.53,4.53,0,5.15,0,6.51,6.51,0,5.15,5.15,348
0,Demand No. 37,Indirect Taxes,Onetime payment of Arrears.,0,0,0,0,0,0,4080.59,4080.59,0,5769.72,5769.72,349
0,Demand No. 37,Indirect Taxes,Remission of Duties and Taxes on Exported Products (RoDTEP),0,0,0,0,0,0,15069.34,15069.34,0,13699.4,13699.4,350
0,Demand No. 37,Indirect Taxes,Rebate on State and Central Taxes and Levies (RoSCTL),0,0,0,0,0,0,8404.66,8404.66,0,7640.6,7640.6,351
2000,Demand No. 44,Department of Animal Husbandry and Dairying,Livestock Health and Disease Control Programme,0,910.74,910.74,0,2000,0,2349.71,2349.71,0,1390.02,1390.02,352
315,Demand No. 44,Department of Animal Husbandry and Dairying,Infrastructure Development Fund,0,253.14,253.14,0,315,0,340,340,0,315,315,353
900,Demand No. 45,Ministry of Food Processing Industries,Pradhan Mantri Kisan Sampada Yojana,0,713.49,713.49,0,900,0,923.24,923.24,0,673,673,354
1022,Demand No. 45,Ministry of Food Processing Industries,Production-Linked Incentive Scheme for Food Processing Industry,0,9.27,9.27,0,1022,0.2,1529.8,1530,0,801,801,355
5673.13,Demand No. 46,Department of Health and Family Welfare,Pardhan Mantri Swasthya Suraksha Yojana,2582.31,6687.2,9269.51,4326.87,10000,3300,65,3365,2786.43,5483.13,8269.56,356
3004.52,Demand No. 46,Department of Health and Family Welfare,National AIDS and STD Control Programme,0.54,2125.79,2126.33,22.5,3027.02,13.11,3066.86,3079.97,2.1,2179.91,2182.01,357
0,Demand No. 46,Department of Health and Family Welfare,Global Fund Grant under Covid 19 Response Mechanism 2021(EAP),0,0,0,0,0,470,25,495,0,0,0,358
484.35,Demand No. 46,Department of Health and Family Welfare,Family Welfare Schemes,0,300.16,300.16,0,484.35,0,516.6,516.6,0,473.97,473.97,359
45.9,Demand No. 46,Department of Health and Family Welfare,Establishment and strengthening of NCDC Branches and Health Initiatives Inter Sectoral coordination for preparation and control of Zoonotic Diseases and other neglected tropical diseases surveillance of Viral Hepatitis Anti Microbial Resistance,8.35,28.44,36.79,25.65,71.55,0,55.54,55.54,21.15,31.31,52.46,360
10,Demand No. 46,Department of Health and Family Welfare,National Pharmacovigilance Programme,0,9.44,9.44,0,10,0,8.53,8.53,0,10,10,361
20.43,Demand No. 46,Department of Health and Family Welfare,Development of Nursing Services,0,12.64,12.64,0,20.43,0,33.41,33.41,0,24.93,24.93,362
77.18,Demand No. 46,Department of Health and Family Welfare,Health Sector Disaster Preparedness and Response and Human Resources Development for Emergency Medical Services,0,32.13,32.13,52.82,130,52.82,75.32,128.14,20,55,75,363
13.43,Demand No. 46,Department of Health and Family Welfare,National Organ Transplant Programme,0,5.88,5.88,1.57,15,1.35,14.33,15.68,0.26,9.98,10.24,364
0,Demand No. 46,Department of Health and Family Welfare,India COVID -19 Emergency Response and Health System Preparedness Package (Phase-II) (DBS),6.58,1471,1477.58,0,0,0,0,0,0,0,0,365
226,Demand No. 46,Department of Health and Family Welfare,Pradhan Mantri Garib Kalyan Package - Insurance Scheme for Health Care Workers fighting COVID-19,0,975.83,975.83,0,226,0,0.01,0.01,0,226,226,366
560.69,Demand No. 46,Department of Health and Family Welfare,Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM) (Health),0,177.07,177.07,418.18,978.87,114.5,531.36,645.86,33.39,248.29,281.68,367
0,Demand No. 46,Department of Health and Family Welfare,National Tele Mental Health Programme,0,0,0,0,0,0,133.73,133.73,0,121,121,368
